项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
其他,66828,【手作佛珠】洗礼心灵，佛韵禅心，我们都有一颗禅心！,筹集结束,5000,1183.5,7,5,1.90,29,7,否,项目结束后10天发送回报,1,1,湖南省衡阳市,2015-06-30 00:00,15217,8,9
其他,66787,海口大象堡青年旅舍众筹,筹集结束,50000,0,0,5,100.00,25,1,否,项目结束后15天发送回报,0,1,NOTFOUND,2015-06-29 00:00,18607,2,6
其他,66704,从心站起来—一号作品《生命树衍纸相框》,筹集结束,5000,500,1,6,70.00,15,1,是,项目结束后60天发送回报,0,1,NOTFOUND,2015-06-25 00:00,15551,3,2
其他,66721,执子之手，换你半生笑颜—《笑脸》,筹集结束,5000,51,3,6,70.00,11,4,是,项目结束后60天发送回报,1,1,河南省焦作市,2015-06-24 00:00,13160,4,3
其他,66708," 独臂也能奏响天籁—《葫芦丝》",筹集成功,5000,5233,26,6,100.00,11,29,是,项目结束后60天发送回报,1,1,NOTFOUND,2015-06-24 00:00,135642,33,575
其他,66706,凤冠-蔡晶-南方医科大学,筹集结束,5000,50,2,6,70.00,17,2,是,项目结束后60天发送回报,0,1,NOTFOUND,2015-06-24 00:00,12430,2,1
其他,66715,印心卡——害羞的心绪印出来，认知与手功能训练玩具套装,筹集结束,5000,2430,5,6,8.00,21,5,是,项目结束后30天发送回报,0,1,天津市,2015-06-24 00:00,15787,19,1
其他,66709,遥知不是雪 为有暗香来—“吹”出来的画作《暗香》,筹集结束,5000,1808.1,19,6,70.00,13,19,否,项目结束后60天发送回报,0,1,广东省佛山市,2015-06-21 00:00,16401,19,5
其他,65784,《忆·生》——让梦想之花再绽放,筹集结束,3000,1,6,6,5.00,17,6,否,项目结束后25天发送回报,0,1,NOTFOUND,2015-07-19 00:00,13868,8,10
其他,66442,邻里+紫金蜜桑园亲子休闲旅游农业,筹集结束,5960,1,1,2,298.00,10,1,否,项目结束后60天发送回报,0,1,上海市市辖区,2015-06-10 00:00,13307,3,2
其他,65391,90后女汉子的励志台湾求学路,筹集结束,5000,139,1,5,5.00,23,5,否,项目结束后30天发送回报,1,1,云南省大理白族自治州,2015-06-20 00:00,16358,7,10
其他,66392,【太行崖柏】崖柏的“艺术之旅”,筹集结束,5000,794,8,3,36.00,20,8,否,项目结束后10天发送回报,0,1,河北省石家庄市,2015-05-14 00:00,15238,12,12
其他,66357,中国人，总要喝一次的古法手作正山小种,筹集成功,10000,10354,17,5,228.00,26,18,否,项目结束后45天发送回报,0,1,上海市市辖区,2015-05-24 00:00,44435,27,32
其他,66123,有亩地,筹集成功,100000,101701.85,80,8,80.00,29,85,是,项目结束后10天发送回报,2,1,北京市市辖区,2015-05-20 00:00,145453,88,210
