项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,62222,兰州大学公益创业协会“爱心助力，梦想飞扬”公益助学项目,筹集成功,800,940,14,7,5.00,13,20,是,项目结束后40天发送回报,0,1,NOTFOUND,2014-07-18 00:00,43759,14,23
活动,62120,全网首个众筹培训班筹资啦！刘大师教你如何运营项目,筹集成功,2000,2000,2,2,700.00,19,6,是,不确定,1,1,NOTFOUND,2014-07-29 00:00,28950,4,22
活动,61895,我们做的只是公益 种下希望与知识的种子,筹集成功,1600,2010,9,3,5.00,21,14,否,项目结束后15天发送回报,0,1,NOTFOUND,2014-07-18 00:00,18342,11,43
活动,61735,知行会公益培训场地（北京）众筹,筹集结束,22500,0,0,1,1500.00,8,1,否,不确定,0,1,NOTFOUND,2014-07-13 00:00,7577,NOTFOUND,4
活动,61766,送给家中长辈的爱,筹集结束,10000,0,0,9,120.00,21,1,否,不确定,0,1,NOTFOUND,2014-07-11 00:00,7801,NOTFOUND,14
活动,61796,带着婚纱去旅行(骑摩托车环游中国),筹集结束,50000,14200,91,8,10.00,37,125,是,项目结束后240天发送回报,25,1,NOTFOUND,2014-08-09 00:00,213476,92,300
活动,61723,走遍365所高校     引爆365万梦想,筹集结束,10000,437,16,6,99.00,12,25,否,项目结束后100天发送回报,1,1,NOTFOUND,2014-07-10 00:00,88553,17,241
活动,61598,关注中国射击，为中国射击队加油！,筹集结束,18000,1100,3,3,300.00,11,4,否,不确定,0,1,NOTFOUND,2014-06-17 00:00,51699,3,86
活动,61479,世界杯不再沉默————和足球宝贝一起为你支持的球队加油呐喊！,筹集结束,5000,1800,12,2,150.00,13,16,否,不确定,0,1,NOTFOUND,2014-06-17 00:00,138756,12,120
活动,61068,关注移动金融      聚焦众智英才,筹集结束,1000,180,17,1,0.00,15,18,否,不确定,0,1,NOTFOUND,2014-06-18 00:00,27571,17,79
