项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
设计,67883,【喵出没，请注意】独家定制喵星人贝壳包,筹集结束,5000,609,4,3,299.00,26,5,否,项目结束后30天发送回报,1,1,广东省广州市,2015-09-29 00:00,40501,6,53
设计,67826,草仙居倾情打造，纯手工编织——坐垫，蒲团，打坐垫,筹集结束,5000,21,1,5,21.00,42,3,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-11-10 00:00,15764,4,4
设计,67884,爱楠说第一季之国木金丝楠,筹集结束,1000,130,5,9,2.00,33,9,否,项目结束后15天发送回报,0,1,四川省乐山市,2015-10-16 00:00,24065,15,14
设计,67782,因为你在，所以有爱,筹集结束,8000,9.9,1,3,9.90,21,1,否,项目结束后10天发送回报,0,1,NOTFOUND,2015-09-27 00:00,8998,2,NOTFOUND
设计,67773,在路上，拥有灵魂的水晶雕塑，致正在奋斗的你,筹集结束,1000,0,0,7,10.00,27,0,否,项目结束后30天发送回报,0,1,安徽省芜湖市,2015-10-07 00:00,9234,NOTFOUND,NOTFOUND
设计,67775,我们young，我们不一样——潘多拉跨界随身小方包,筹集结束,2000,118,2,4,59.00,20,2,否,项目结束后60天发送回报,0,2,NOTFOUND,2015-09-26 00:00,10867,3,NOTFOUND
设计,67777,ZHAI 原创手工刺子绣系列,筹集结束,2000,204,3,3,28.00,35,4,否,项目结束后60天发送回报,0,2,NOTFOUND,2015-10-25 00:00,28803,5,18
设计,67648,WEIS 中国文化意境产品,筹集结束,2000,0,0,7,79.00,32,0,否,项目结束后7天发送回报,0,1,浙江省杭州市,2015-09-01 00:00,10247,1,NOTFOUND
设计,67563,送你小叶紫檀与金丝楠乌木手串！如有动心？不如行动,筹集结束,10000,990,14,9,17.00,37,19,否,项目结束后20天发送回报,0,2,NOTFOUND,2015-09-03 00:00,136609,67,207
设计,65632,纯手工天目釉银盏——为健康而生，低调奢华,筹集结束,5000,0,0,4,268.00,13,0,否,项目结束后15天发送回报,0,2,云南省昆明市,2015-08-22 00:00,10881,3,3
设计,66599,90后原创品牌“嘉焱精品”二期——紫檀情缘，金星相伴,筹集结束,4999,0,0,12,10.00,54,0,否,项目结束后7天发送回报,0,2,福建省厦门市,2015-09-11 00:00,11093,6,7
