项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,359658,喷气智能——梦幻水杯,筹资失败,20000,12088,202,10,99.00,68,15,49,是,预计筹资结束后30天内,456,2,2,246,86,广东深圳,已经结束
家居生活,344566,娜娜云端智能体温计——女性版,筹资成功,10000,11349,46,6,99.00,6,16,0,否,预计筹资结束后30天内,1,0,1,53,41,福建厦门,已经结束
家居生活,360295,Wislight未蓝智能灯泡（抽奖送坚果手机，我很认真的！）,筹资成功,10000,10322,51,4,118.00,55,9,40,否,预计筹资结束后30天内,128,1,1,69,10,浙江宁波,已经结束
家居生活,359553,燃气侠：2015拯救不放心（￥79报警器已单独开放）,筹资成功,10000,10186,64,7,18.00,61,6,50,是,预计筹资结束后30天内,129,4,1,71,31,北京朝阳区,已经结束
家居生活,346874,Gplug—果谷智能插座,筹资成功,10000,10050,33,4,159.00,4,4,0,否,预计筹资结束后30天内,1,0,2,50,20,其他,已经结束
家居生活,361731,积木公社 好积友的诗意乌托邦,筹资失败,80000,8944,55,10,69.00,62,9,36,是,预计筹资结束后190天内,193,0,1,57,24,北京朝阳区,已经结束
家居生活,342063,ibaguette 贝甜智能插排-拥有贝甜，生活“倍甜”,筹资失败,10000,8571,50,9,89.00,16,15,0,否,预计筹资结束后30天内,0,0,1,79,30,北京海淀区,已经结束
家居生活,341942,Magic-color彩色调光遥控器,筹资成功,8000,8471,19,11,149.00,23,16,0,否,预计筹资结束后30天内,0,2,1,30,13,广东深圳,已经结束
家居生活,322177,sciener科技侠智能锁,筹资成功,5000,8360,27,5,10.00,38,41,6,否,预计筹资结束后15天内,10,0,3,27,6,马尔代夫,已经结束
家居生活,341894,狗鼻子辐射检测仪,筹资成功,5000,7328,74,5,59.00,11,9,1,是,预计筹资结束后20天内,0,2,2,92,10,山东青岛,已经结束
家居生活,320517,狗鼻子iPhone甲醛检测仪 (最小，最智能的甲醛检测仪),筹资成功,5000,6040,25,3,10.00,7,24,0,否,预计筹资结束后1天内,0,2,2,26,6,山东青岛,已经结束
