项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,659685,现代书法篆刻名家朱天曙教授首部心得随笔，散谈历史上的那些文化先贤,众筹中,6000,26389,106,4,2.00,10,2,6,否,13,10,项目成功结束后40天内,北京,26天
出版,16197,正和岛陈为的阅读盛宴：《一本正经》,已成功,20000,23988,106,7,29.00,3,3,42,否,0,61,项目成功结束后30天内,北京,已经结束
出版,332344,Star Show - “天下萌学园之秦亲宝贝放眼世界,已成功,10000,10400,106,5,1.00,18,10,37,否,17,9,项目成功结束后立即发货,陕西 西安,已经结束
出版,456598,50年的逆袭，从极差到最好,已成功,10000,10954,106,4,1.00,7,4,9,否,44,24,项目成功结束后立即发货,北京,已经结束
出版,12213,《网金的魅惑：解码互联金融》,已成功,5000,6920,105,3,45.00,4,3,9,否,0,87,项目成功结束后30天内,北京,已经结束
出版,319540,《灵犀》杂志——让我们一起聆听建筑师的声音,已成功,20000,23874,104,5,20.00,17,8,27,是,14,25,项目成功结束后立即发货,北京,已经结束
出版,116080,《六六的早餐》妈妈对女儿最温暖的爱,已成功,10000,10000,104,2,50.00,9,5,17,否,14,38,项目成功结束后30天内,北京,已经结束
出版,131320,佛曰看茶——人生不过一碗茶 活的是拿起放下,已成功,10000,10363,104,5,1.00,4,13,11,否,10,23,项目成功结束后立即发货,河南 郑州,已经结束
出版,85459,一人拥有一棵树，打造独一无二的森女森林,已成功,10000,12649,104,5,36.00,13,3,25,否,2,65,项目成功结束后15天内,北京,已经结束
出版,153823,全方位架构企业，赢在大数据运营,已成功,5000,7999,102,4,49.00,4,25,44,否,2,93,项目成功结束后立即发货,北京,已经结束
出版,164038,中国第一励志故事－关注留守儿童出版众筹,已成功,35000,36151,102,5,1.00,8,4,14,是,4,55,项目成功结束后15天内,北京,已经结束
出版,170143,大朝台，遇见不一样的五台山，遇见另一个你,已成功,30000,30156,102,1,49.00,8,5,21,是,9,36,项目成功结束后45天内,山西 太原,已经结束
出版,578221,蔡志忠一日一禅日历：向浮躁的2016说晚安。,已成功,8000,8155,102,5,5.00,12,3,28,否,9,31,项目成功结束后15天内,北京,已经结束
出版,40099,零距离接触联想，掏心窝子的读书“私”想会，需要你敢玩和“感”想,已成功,100000,166841,101,6,29.00,15,3,39,否,2,11,项目成功结束后30天内,北京,已经结束
出版,131365,一本让人叩首营销策划的书,已成功,10000,11704,101,4,1.00,7,4,14,否,13,30,项目成功结束后60天内,广东 东莞,已经结束
出版,165142,[空白 仰望] 系列笔记本＋诗集＋书签——亿万年前的我们，像树一样孤独地生长,已成功,7000,8053,101,4,1.00,23,4,17,否,6,23,项目成功结束后30天内,北京,已经结束
