项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
农业,396244,一世“枣”缘，给自己一个涅槃重生的机会,已成功,5000,5774,209,6,1.00,4,8,30,否,3,29,项目成功结束后15天内,河南 郑州,已经结束
农业,255805,回味国光1979：我回来了，你在哪儿？（360棵1979年老树小国光恭迎品鉴）,已成功,100000,102258,206,3,69.00,13,9,56,否,7,47,项目成功结束后立即发货,山东 烟台,已经结束
农业,581722,【新时代放牛娃】邀您共享小坡牛肉@助力山区留守老人,已成功,50000,50044,206,4,156.00,20,7,39,是,86,19,项目成功结束后30天内,湖北 襄樊,已经结束
农业,277276,来自东北大森林的雪蜜----给你想要的甜蜜,已成功,10000,11730,201,6,1.00,11,15,61,否,1,36,项目成功结束后立即发货,黑龙江 黑河,已经结束
农业,304933,（第2季）品味经典—私人订制一炉正宗果木熏制无淀粉纯肉的哈尔滨红肠,已成功,20000,22107,201,5,1.00,17,8,52,否,4,22,项目成功结束后7天内,黑龙江 哈尔滨,已经结束
农业,375160,【来自江西的第一瓶蓝莓酒】为美丽与健康而生,已成功,50000,50246,200,5,1.00,16,7,30,是,5,63,项目成功结束后30天内,江西 南昌,已经结束
农业,355168,《凤岐缘茶》和你来一场春天的约定,已成功,10000,10153,199,6,1.00,4,10,52,否,16,7,项目成功结束后30天内,山东 济南,已经结束
农业,622420,玩茶，来玩一次大的！,已成功,5000,6036,199,2,2.00,3,4,6,否,15,14,项目成功结束后7天内,福建 泉州,已经结束
农业,209332,阿庆嫂大闸蟹——带着阳澄湖的呼吸，寻你而来 ,已成功,2000,7714,198,4,1.00,1,6,41,否,0,170,项目成功结束后立即发货,江苏 苏州,已经结束
农业,181918,贵妃姜茶--寻找失传多年的老秘方,已成功,10000,10002,197,4,1.00,17,4,12,否,1,133,项目成功结束后7天内,福建 泉州,已经结束
农业,252703,东北大妞幸福农场——拥有一块属于自己的有机稻田,已成功,50000,50533,197,4,59.00,20,8,58,否,15,51,项目成功结束后立即发货,辽宁 沈阳,已经结束
农业,174868,闻花香，听蜂声！自家纯天然蜂蜜,已成功,3000,3750,196,4,1.00,16,5,22,否,2,141,项目成功结束后3天内,山东 聊城,已经结束
