项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,557086,我想要一张温暖的床-温暖的床垫,已成功,25000,25411,250,5,10.00,21,14,36,否,116,23,项目成功结束后30天内,广西 河池,已经结束
公益,153277,南诏百梦拾青华——清华大学赴云南夏令营项目,已成功,21000,24042,250,7,10.00,8,4,1,否,86,67,项目成功结束后立即发货,云南,已经结束
公益,39013,托起明天的太阳——为藏区的孩子筹建一座运动场,已成功,80000,90690,249,9,20.00,16,3,54,否,38,45,项目成功结束后30天内,四川 甘孜,已经结束
公益,425920,2016年长医“芙蓉学子▪一米阳光”暑期三下乡活动,已成功,5008,5020,249,1,10.00,6,4,26,否,177,59,项目成功结束后7天内,湖南 邵阳,已经结束
公益,574552,新加坡留学生赴海南松林小学支教,已成功,2300,8971,248,4,1.00,11,4,25,是,85,103,项目成功结束后30天内,海南,已经结束
公益,393658,众筹有您，众筹有我-----为乡亲们圆个走好路的梦,已成功,50000,50027,248,4,50.00,6,36,45,否,198,9,项目成功结束后30天内,安徽 安庆,已经结束
公益,77176,把书友会社群基地建设成为畅想空间,已成功,50000,55952,247,2,99.00,14,9,46,是,49,144,项目成功结束后10天内,江苏 苏州,已经结束
公益,10067,星儿计划·爱上来自星星的你——自闭儿童教育支持与服务,已成功,4188,4978,246,5,1.00,11,3,2,是,0,188,项目成功结束后30天内,江苏 苏州,已经结束
公益,127729,以云为名——为大文乡的孩子众筹图书室,已成功,25000,26744,246,6,20.00,11,5,7,否,42,104,项目成功结束后7天内,云南 临沧,已经结束
公益,577558,木瓜上的每一个笔画，都凝聚着特校孩子的一个小小心愿,已成功,5000,5556,245,4,5.00,6,3,28,否,108,14,项目成功结束后立即发货,湖北 十堰,已经结束
公益,538003,一个坑，一棵树，一桶水，一道绿色长城,已成功,50000,50021,244,8,1.00,9,3,31,否,131,54,项目成功结束后立即发货,内蒙古 鄂尔多斯,已经结束
公益,128602,共享美丽星空——邀您一起关爱来自“星星的孩子“,已成功,30000,30006,242,3,20.00,6,7,5,否,85,40,项目成功结束后30天内,重庆,已经结束
公益,346072,改建一座独一无二的炮楼美术馆,已成功,50000,57926,242,6,50.00,20,8,28,否,115,75,项目成功结束后30天内,广东 广州,已经结束
公益,405373,心系深山孤寡老人 让爱在山间飞扬,已成功,5000,5056,242,4,2.00,24,4,0,否,89,76,项目成功结束后10天内,甘肃 陇南,已经结束
公益,391162,为山区贫困户农耕生产送上一把新农具,已成功,10000,10331,241,6,6.00,13,13,23,否,42,20,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,172378,1元起的全身体检——唤醒国人对健康的关注,已成功,10000,12697,241,6,1.00,9,5,31,是,10,20,项目成功结束后30天内,北京,已经结束
