项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
其他,190705,降魔杵手表：一个表壳，三种圈口，随心更换，多种体验,已成功,50000,55358,229,5,1.00,94,12,40,否,8,134,项目成功结束后立即发货,广东 深圳,已经结束
其他,513988,十里香70周年纪念原浆限时发售,已成功,10000,14313,229,1,50.00,7,1,9,是,7,61,项目成功结束后15天内,河北 沧州,已经结束
其他,113527,检车无忧：爱车检测咨询专家,已成功,5000,6471,228,3,1.00,1,3,19,是,6,176,项目成功结束后立即发货,北京,已经结束
其他,113017,一元众筹，给梦想插上翅膀！（三期）,已成功,249,265,226,0,1.00,3,5,44,否,3,223,项目成功结束后7天内,北京,已经结束
其他,186571,高速公路上的旅途休息站,已成功,50000,50103,225,3,5.00,9,4,37,否,5,28,项目成功结束后15天内,广东 广州,已经结束
其他,322618,太阳能移动电源防雨超薄充电宝——旅行必备,已成功,2000,5634,220,5,1.00,25,10,91,否,12,40,项目成功结束后15天内,广东 深圳,已经结束
其他,558715,千年鼓运，一段情怀，摇响童年的记忆,已成功,10000,11183,217,3,28.00,7,0,11,否,24,70,项目成功结束后10天内,北京,已经结束
其他,167896,南部生活|一起建房子、开垦、打铁、织布、习武、美食……,已成功,30000,30746,216,10,10.00,21,5,118,是,15,105,项目成功结束后立即发货,福建 福州,已经结束
其他,371554,北师大实验中学iGEM,已成功,20000,22360,213,3,100.00,12,8,37,是,155,33,项目成功结束后30天内,北京,已经结束
其他,296137,SOYES H1全金属智能触控卡片手机【万万没想到，第二期归来】,已成功,500,5790,213,6,1.00,34,8,170,是,7,1,项目成功结束后7天内,广东 深圳,已经结束
其他,399841,爱与梦飞翔----中国科大亚沙众筹活动,已成功,20000,20143,213,4,58.00,10,8,40,否,16,25,项目成功结束后立即发货,安徽 合肥,已经结束
其他,193351,【小玩具 大心意】炫舞机器人——小朋友爱的给力礼物,已成功,3000,8535,211,6,1.00,19,5,48,否,1,73,项目成功结束后15天内,江苏 苏州,已经结束
其他,367027,耕读漓江边：在桂林浪石村建一个“老家”,已成功,60000,77300,210,6,10.00,20,12,85,否,37,81,项目成功结束后60天内,广西 桂林,已经结束
其他,376786,2016钜献 时尚双显运动腕表 吉祥开运 助力征途,已成功,10000,13384,209,4,1.00,50,15,98,否,15,7,项目成功结束后立即发货,广东 深圳,已经结束
其他,22231,鬼影人间手机App众筹,已成功,45000,52240,208,10,30.00,8,3,76,是,0,48,项目成功结束后1天内,北京,已经结束
其他,17262,Google Glass中文系统征集公测,已成功,5000,9909,207,1,1.00,4,3,111,否,0,108,项目成功结束后1天内,广东 广州,已经结束
其他,198037,为一位热心公益的年轻心理工作者众筹进修学费,已成功,43000,45330,206,5,50.00,10,4,32,否,37,30,项目成功结束后立即发货,浙江 杭州,已经结束
其他,252061,X8蓝牙手机耳机—耳机1秒变手机(第2期）,已成功,10000,15956,205,5,2.00,4,14,170,否,3,140,项目成功结束后10天内,天津,已经结束
其他,533389,天志给您一个不需要开关的智能感应LED灯,已成功,20000,20736,204,9,1.00,15,6,27,否,29,19,项目成功结束后20天内,福建 泉州,已经结束
其他,17225,keep 2.0网络防丢,已成功,5000,12135,203,10,2.00,7,3,620,否,0,89,项目成功结束后30天内,广东 深圳,已经结束
其他,402739,超简约 · 十二星座手表,已成功,20000,24753,202,24,1.00,37,10,114,否,8,8,项目成功结束后立即发货,广东 深圳,已经结束
其他,16222,"亦刀亦器,亦具亦饰---随行由我，刃我行",已成功,6000,14295,202,3,45.00,7,3,117,否,0,95,项目成功结束后10天内,上海,已经结束
其他,365605,55度杯 摇一摇变55度的魔法水杯 创意礼品杯,已成功,2000,10303,202,4,78.00,26,17,242,否,101,10,项目成功结束后5天内,北京,已经结束
其他,48547,eNB 全功能USB绕线轮,已成功,2000,34824,201,5,1.00,17,6,164,是,0,9,项目成功结束后立即发货,广东 深圳,已经结束
其他,7935,辩论众筹——应该鼓励大学生通过众筹创业吗？,已成功,1000,1005,201,1,5.00,3,3,2,否,0,92,项目成功结束后1天内,北京,已经结束
其他,13850,budiu 全球第一款GPS智能定位童鞋,已成功,100000,109754,200,6,99.00,5,3,181,是,0,10,项目成功结束后45天内,北京,已经结束
其他,5570,【洛宝贝】邀您参加快乐巢 潮慢跑活动,已成功,10000,16276,199,7,3.00,11,3,9,否,0,12,项目成功结束后40天内,北京,已经结束
其他,6222,雪山乌托邦——500块，做雪山木屋业主,已成功,300000,303000,198,3,500.00,17,3,158,否,0,156,项目成功结束后100天内,云南 迪庆,已经结束
其他,167248,呼吸式按摩靠背,已成功,30000,33662,197,4,1.00,2,7,37,否,0,119,项目成功结束后10天内,山东 青岛,已经结束
其他,183280,手机屏幕保修服务,已成功,9999,10013,194,7,3.00,5,9,151,否,4,3,项目成功结束后7天内,江西 南昌,已经结束
其他,7683,蔡志忠大师《达摩》个性化邮票,已成功,30000,100549,192,6,3.00,11,3,43,否,0,53,项目成功结束后30天内,北京,已经结束
其他,53878,好房排行APP——定义买房新时代，吃喝玩乐购，从此再无忧,已成功,10000,10334,191,4,10.00,11,3,28,是,5,118,项目成功结束后10天内,陕西 西安,已经结束
其他,400216,【私人定制 手机感恩】五一备礼  送爸妈送亲友 翻盖老人大字体大音量好手机,已成功,10000,10115,191,2,166.00,15,16,39,否,159,23,项目成功结束后立即发货,广东 深圳,已经结束
其他,52240,2014湖北罗友年终盛典即将隆重举办,已成功,1000,11490,189,3,10.00,8,3,0,否,0,83,项目成功结束后立即发货,湖北 武汉,已经结束
其他,9760,【LOOPER环形排插】颠覆传统插排概念,已成功,20000,38257,189,3,89.00,11,3,217,否,0,87,项目成功结束后30天内,广东 广州,已经结束
其他,16850,OR-WiWo-S20 手机wifi远程无线开关 定时遥控wifi插座,已成功,3000,4029,189,4,1.00,5,3,71,否,0,165,项目成功结束后15天内,北京,已经结束
其他,156055,一个神奇的保温杯：独特开合方式 无盖密封—2期,已成功,3000,7318,188,6,1.00,22,6,142,是,2,84,项目成功结束后立即发货,河南 郑州,已经结束
其他,188977,motlun透明的防雾霾口罩M2,已成功,5000,10949,187,6,1.00,8,5,81,否,2,78,项目成功结束后5天内,北京,已经结束
其他,20321,为手机平板而生——飞鲨智能折叠自拍键盘,已成功,20000,32160,186,7,148.00,19,3,270,是,0,100,项目成功结束后10天内,广东 深圳,已经结束
其他,467929,听说，这个手机支架很是独一无二,已成功,20000,20330,184,5,1.00,5,4,8,是,8,1,项目成功结束后35天内,广东 珠海,已经结束
其他,659982,泰国PASA原装乳胶枕|天然除螨，防止过敏|100%乳胶A级货源|传递健康,已成功,12000,12000,184,4,2.00,15,3,4,是,5,4,项目成功结束后20天内,湖北 武汉,已经结束
