项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
娱乐,10833,【众筹网-声演坊】Ashram 2014年中国巡演·上海站,已成功,1000,1080,4,3,120.00,6,3,0,是,0,1,项目成功结束后5天内,上海,已经结束
娱乐,15254,北京·爱乐汇·西班牙穆尔西亚舞蹈团弗拉门戈舞剧《卡门》 北京展览馆剧场,已成功,3000,3274,4,11,162.00,1,3,2,否,0,0,项目成功结束后1天内,北京,已经结束
娱乐,19838,【影像季】《幽灵狗第一季》在一个犯罪猖獗正义没落的科幻黑暗城市里：最佳类型季,已成功,3000,4000,4,4,100.00,4,3,1,是,0,0,项目成功结束后6天内,北京,已经结束
娱乐,48952,名家传戏—2014全国昆曲传承汇报演出 青春版《牡丹亭》,已成功,400000,400000,4,2,380.00,2,3,2,否,0,0,项目成功结束后立即发货,北京,已经结束
娱乐,661272,小木屋轰趴馆,众筹中,350000,1148,4,4,0.00,6,0,1,否,4,NOTFOUND,项目成功结束后立即发货,北京,84天
娱乐,12035,青梅煮酒听风雨，众筹专场看 《小时代3：刺金时代》,已成功,1000,1240,4,3,40.00,6,3,2,是,0,1,项目成功结束后立即发货,北京,已经结束
娱乐,15805,广州·爱乐汇·俄罗斯国家芭蕾舞团《睡美人》,已成功,3000,3040,4,8,180.00,8,3,1,否,0,1,项目成功结束后1天内,广东 广州,已经结束
娱乐,42004,【声演坊】The Candle Thievies2015中国巡演·上海站,已成功,1000,1014,4,3,80.00,5,3,0,是,0,0,项目成功结束后5天内,上海,已经结束
娱乐,4276,【乐童音乐】莫西子诗乐队首张专辑《原野》预售,已成功,5000,5300,4,5,20.00,2,3,2,是,0,0,项目成功结束后1天内,北京,已经结束
娱乐,6011,【众筹网-声演坊】The Best Pessimist 2014中国巡演·重庆站,已成功,1000,1000,4,3,40.00,6,6,0,是,0,1,项目成功结束后5天内,重庆,已经结束
娱乐,8438,【众筹网-声演坊】Edwina Hayes 2014年中国巡演·重庆站,已成功,1000,1000,4,3,40.00,6,6,1,是,0,1,项目成功结束后5天内,重庆,已经结束
娱乐,10847,【众筹网-声演坊】Ashram 2014年中国巡演·广州站,已成功,1000,1020,4,3,70.00,7,3,0,是,0,2,项目成功结束后5天内,广东 广州,已经结束
娱乐,12303,【欧洲万像】《激战》面对人生擂台你如何选择,已成功,2000,5210,4,8,10.00,21,3,2,否,0,1,项目成功结束后30天内,北京,已经结束
