项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
动漫,7351,《名侦探柯南》限量版明信片套装,项目成功,1888.00,15996.00,582,0,0.00,1,0,371,2015/02/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,6582,努力个毛，我就要这样的懒生活——懒拖拖系列明信片,项目成功,6000.00,7858.00,159,6,28.80,10,0,165,2015/02/28,否,35,15,"淘宝-,,"
动漫,7389,哆啦A梦限量版全系列邮品,项目成功,6000.00,130456.00,1177,0,0.00,3,0,1397,2015/02/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,6998,HelloKitty新年系列限量版邮品全新来袭,项目成功,6000.00,31184.00,313,0,0.00,2,0,388,2015/02/06,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,6645,炮炮加“邮”，炮炮兵系列邮品全国首发,项目成功,3000.00,3046.00,60,6,10.00,14,0,112,2015/01/18,否,14,10,"淘宝-4.9,4.9,4.9"
动漫,6595,《同学》系列明信片,项目成功,3000.00,8040.00,90,0,0.00,4,0,310,2015/01/15,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,12356,2015成就梦想！--许愿精灵--原创公仔,项目成功,10000.00,31352.00,532,5,28.00,19,3,420,2015/04/01,否,184,20,"淘宝-,,"
动漫,5770,Benko.Yo系列涂鸦潮公仔,项目成功,4000.00,6359.00,257,0,0.00,23,0,157,2015/01/08,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,5926,怪物之旅--载着梦想去旅行,项目成功,6000.00,84034.00,978,0,0.00,1,3,935,2015/01/13,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,5411,《大唐武韵》剑网3同人插画精选集,项目成功,5000.00,20066.00,225,6,58.00,18,0,161,2014/12/28,是,103,15,"淘宝-5.0,5.0,5.0"
动漫,7137,插画师小夫妻，卖艺筹旅费！,项目成功,6000.00,17086.00,624,11,5.00,8,4,475,2015/04/04,否,100,60,"淘宝-,,"
动漫,4825,2015，让我们，回到小时候的——槑好时光,项目成功,20000.00,20969.00,441,5,29.00,16,0,173,2014/12/23,否,391,15,"淘宝-4.9,4.9,4.8"
动漫,5091,慕容引刀倾情修订：“朋友刀刀”典藏版全新上市,项目成功,50000.00,55079.00,421,7,49.00,13,0,184,2015/01/12,否,229,15,"淘宝-4.8,4.8,4.8"
动漫,4358,航海王15周年中国限量版邮品,项目成功,6000.00,73564.00,397,0,0.00,2,1,738,2014/12/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,3940,100天计划！减肥日记漫画周边,项目成功,10000.00,10382.00,112,4,39.00,11,0,62,2014/12/13,否,4,5,"淘宝-,,"
动漫,4803,2014年度大戏-《热血杨家将》舞台剧,项目成功,200000.00,214240.00,1024,7,50.00,7,0,108,2014/12/20,否,16,105,"淘宝-,,"
动漫,14729,《倩女幽魂2》同人影画集《倩影遥》,项目成功,30000.00,78180.00,572,5,20.00,3,1,189,2015/04/19,否,25,60,"-5.0,,"
动漫,3453,Hellokitty40周年中国限量版邮品,项目成功,6000.00,40352.00,209,0,0.00,1,0,191,2014/11/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,3690,CC猫和它的小伙伴们,项目成功,6000.00,7525.00,126,0,0.00,8,1,249,2014/12/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,2724,BEN品牌《中国女孩》系列帆布鞋限量首发,项目成功,2000.00,2510.00,28,0,0.00,9,0,127,2014/10/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,2531,小纯粹——ong童 经典漫画形象全系列周边产品,项目成功,3000.00,5557.00,67,0,0.00,10,0,152,2014/11/11,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,1971,【Miss】原创明信片插画设计,项目成功,2100.00,4353.50,55,0,0.00,37,0,93,2014/10/19,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,1726,动画电影《大熊猫传奇》衍生品黑陶众筹~,项目成功,10000.00,11060.00,69,0,0.00,12,0,101,2014/10/05,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,2001,怪物小卖部---原创插画,项目成功,4000.00,4147.00,27,0,0.00,31,2,181,2014/10/05,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,1809,哆啦A梦京剧系列官方正版邮品向你袭来！全都萌萌哒！,项目成功,6000.00,40485.00,450,0,0.00,7,5,136,2014/09/29,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,1700,《叶罗丽》东方公主娃娃及周边产品全国首发！,项目成功,5000.00,5938.00,30,5,2.00,10,0,37,2014/09/29,是,15,30,"淘宝-,,"
动漫,1718,一大波菜菜正在接近！绘本周边大放送！,项目成功,10000.00,10784.00,222,5,30.80,10,0,44,2014/10/03,否,192,30,"淘宝-,,"
动漫,1730,馒头日记第二册温暖集聚,制作中,20000.00,21903.00,264,0,0.00,11,0,106,2014/09/30,是,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,9642,不要负能量，和小师爷一起传递正能量,项目成功,2000.00,2455.00,39,4,25.00,4,0,87,2015/02/10,否,19,7,"淘宝-,,"
动漫,1551,插画圈首部古风画册《怜君志-琴心剑魄》,项目成功,5000.00,25222.00,338,7,36.00,15,0,428,2014/09/20,否,175,30,"淘宝-5.0,5.0,5.0"
动漫,2792,卷卷公主旅行公仔，和卷卷开始未知的旅程吧！,项目成功,50000.00,54329.00,65,7,39.00,22,4,310,2014/11/22,否,45,45,"淘宝-,,"
动漫,972,暑期限量动漫邮品（变形金刚4+多啦A梦）,项目成功,5000.00,8178.00,26,0,0.00,9,0,43,2014/08/14,否,NOTFOUND,NOTFOUND,"淘宝-4.9,4.9,4.9"
动漫,1543,本杰明工作室插画晴雨伞,项目成功,9999.00,13880.00,101,0,0.00,17,0,247,2014/09/09,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,680,【愛姬兒】の插画原创品牌,项目成功,5000.00,5217.00,56,0,0.00,44,0,93,2014/07/21,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,908,朋友刀刀第七季《我喜欢你，要不要告诉你》签名版,项目成功,9999.00,32521.60,556,1,98.00,4,0,88,2014/08/02,否,54,10,"淘宝-4.8,4.8,4.8"
动漫,1589,《龙吟沧海》虚拟偶像莉莉安限量版手办,项目成功,300000.00,338682.00,774,1,499.00,27,10,661,2014/10/02,是,633,180,"淘宝-,,"
动漫,242,原创小人儿鸭卜abo的故事书!,项目成功,12000.00,12856.00,77,0,0.00,22,0,42,2014/05/26,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,199,梦想还是要有的，万一实现了呢,项目成功,15000.00,19920.00,398,1,40.00,12,0,103,2014/05/25,否,339,10,"淘宝-,,"
动漫,238,《昆塔》正版衍生品火热抢购,项目成功,10000.00,10333.30,39,0,0.00,5,0,14,2014/06/06,是,NOTFOUND,NOTFOUND,"淘宝-,,"
