项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
影音,10039265,HIPANDA GD国内首次代言系列产品钜献,项目成功,10000.00,24076.00,32,11,268.00,5,0,173,2015/08/31,是,1,15,"淘宝-,,"
影音,20040556,碟中谍5AK都市特工罗纹领立领男士夹克,项目成功,10000.00,31122.00,78,12,399.00,17,0,566,2015/09/28,是,3,15,"淘宝-,,"
影音,38239,《峰狂旅程》超级网络剧官方特辑,项目成功,10000.00,225454.00,2263,2,58.00,11,0,1123,2015/09/04,否,1319,20,"淘宝-,,"
影音,38946,《克拉恋人》官方授权衍生品,项目成功,10000.00,52129.00,801,0,0.00,3,2,603,2015/09/20,否,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,31016,罗宾.威廉姆斯：纪念戴着悲伤微笑的喜剧之王,项目成功,10000.00,14208.00,57,0,0.00,9,1,121,2015/09/09,否,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10037858,温暖邂逅--单身也浪漫,项目成功,10000.00,10838.90,81,7,9.90,5,0,50,2015/08/19,否,11,5,"淘宝-,,"
影音,10040771,碟中谍5 飞智游戏盒子限量定制版,项目成功,10000.00,10582.00,18,4,499.00,14,0,138,2015/09/23,是,2,20,"淘宝-,,"
影音,10044536,SOLOVE Q2梵高定制设计款蓝牙音箱,项目成功,100000.00,140175.00,186,4,399.00,14,0,959,2015/10/23,否,139,30,"-,,"
影音,10042465,【限量】柏文《待.渡》中国风专辑,项目成功,16000.00,16860.00,117,3,80.00,2,0,73,2015/10/24,是,14,10,"-,,"
影音,31840,《泡芙小姐》帮你传递爱,项目成功,10000.00,10002.00,758,0,0.00,4,0,409,2015/08/05,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,36062,《花千骨》官方授权拉杆箱、挎包、双肩包,项目成功,80000.00,81508.00,47,8,249.00,10,0,258,2015/08/28,否,9,20,"淘宝-,,"
影音,10072761,时光不老，青春不散.青春纪念册——美好的回忆,项目成功,10000.00,10022.00,98,5,59.00,15,0,397,2016/05/16,否,84,15,"-,,"
影音,31645,《盗墓笔记》超级网剧官方写真集,项目成功,10000.00,29810.00,332,11,68.00,23,0,496,2015/07/30,否,256,20,"淘宝-,,"
影音,26239,电商人的第一部微喜剧《逗比姐弟Ⅱ》等你来嗨！,项目成功,499999.00,501918.00,102,8,39.00,14,8,1265,2015/07/15,是,43,15,"淘宝-,,"
影音,23575,华中科技大学校园原创音乐CD《1037》,项目成功,21037.00,21162.91,518,0,0.00,5,3,183,2015/06/11,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,20717,《卿君侧》——柯暮卿 个人原创音乐集,项目成功,14900.00,171962.00,1324,0,0.00,2,1,727,2015/06/01,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,31722,《问心》剑网3原创同人音乐专辑,项目成功,10000.00,95674.00,723,3,88.00,5,0,836,2015/08/11,是,82,30,"淘宝-,,"
影音,14296,2015超级网剧《国社无双》,项目成功,100000.00,102070.00,1031,0,0.00,6,0,127,2015/05/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,36460,《云若海》月之门新古典音乐专辑2015年原创,项目成功,9600.00,57824.00,368,2,128.00,6,0,404,2015/09/23,是,100,30,"淘宝-,,"
影音,32741,杜海涛和泡芙小姐带你去旅行,项目成功,50000.00,62203.00,639,6,99.00,19,1,1241,2015/08/16,是,57,30,"淘宝-,,"
影音,24101,《复联2》粉丝福利 CT100钢铁侠新款移动电源,项目成功,50000.00,53435.00,1515,6,339.00,10,0,272,2015/06/03,是,46,30,"淘宝-,,"
