项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,10067186,青藏房车旅游众筹-【2000元房车游半个月】,项目成功,50000.00,113850.00,70,0,0.00,9,0,1663,2016/04/30,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10062888,"了不起的挑战,先旅游后付费",项目成功,100000.00,402452.00,1539,0,0.00,12,0,3121,2016/05/21,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,20043781,【有机葡萄酒】联想控股佳沃集团智利年度酒庄出品,项目成功,1000.00,8446.00,20,6,158.00,18,0,55,2016/09/19,是,18,3,"-4.9,4.9,4.8"
其他,10056696,众筹美好生活--1房1车1路逸景营地自然度假新模式,项目成功,6000000.00,19322000.00,4430,0,0.00,15,0,16406,2016/02/01,是,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10086862,三个吃货的梦想，总厨秘制牛肉酱,制作中,50000.00,54224.00,234,6,38.00,10,0,280,2016/07/22,是,10,7,"-5.0,5.0,5.0"
其他,10077842,520 PONY杭州粉丝见面会,项目成功,20000.00,21809.00,322,3,10.00,6,0,309,2016/05/19,是,255,2,"-4.8,4.8,4.8"
其他,10061693,奇瑞 艾瑞泽5 众筹 享千元抵扣 3年6次免费保养,项目成功,50000.00,62621.00,179,3,99.00,5,1,534,2016/03/18,否,19,45,"天猫-4.9,4.9,4.8"
其他,10052330,最摇滚的主餐沙拉－ensalada摇滚沙拉,制作中,100000.00,130200.00,425,6,100.00,13,0,452,2015/12/28,是,267,10,"淘宝-,,"
其他,10051199,晒得乐【智能晾衣机】——一步到位的装修选择！,项目成功,100000.00,104033.00,76,4,1999.00,20,0,1072,2015/12/27,否,20,1,"淘宝-4.8,4.8,4.8"
其他,10062172,与高僧面对面- 曼谷 普吉岛寻找真爱之旅,项目成功,50000.00,56123.00,278,10,199.00,34,0,252,2016/03/07,否,100,30,"淘宝-,,"
其他,10048832,女神！来寻找中国更优质的卫生巾,项目成功,5000.00,7514.00,1830,0,0.00,5,2,1883,2015/12/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10049915,“先旅游后付费，不满意不买单”千人创新诚信旅游活动,项目成功,100000.00,560674.00,5405,0,0.00,11,0,2815,2015/12/31,否,NOTFOUND,NOTFOUND,"淘宝-,,"
