项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,29857,《一家老小向前冲》方言潮品,9,50,25,0,1
娱乐,30637,3D环游地球AR天文科普卡,5,39,6,0,1
娱乐,29517,颠覆传统的时尚消毒喷雾,7,38,20,0,1
娱乐,30336,伊利星战限量版牛奶众筹,4,125,6,0,1
娱乐,30844,中国国风动漫音乐节全国巡演,11,199,5,0,2
娱乐,29998,众筹海南微笑，启航欢乐梦想,8,118,10,0,1
娱乐,30414,无霾之旅,12,29,6,0,1
娱乐,30035,道木迷城，智能空间迷宫玩具,9,280,13,3,2
娱乐,28497,手绘神器!随身携带随心所画,6,87,19,2,1
娱乐,28804,要你一起·爱吧 音乐盛典,7,1,4,0,1
娱乐,28722,燃在心中，我就是创造,4,99,4,0,1
娱乐,28149,五城之约，等君称王全新城战,3,300,5,0,1
娱乐,29244,鬼吹灯之言为心声—摸金符,6,880,7,0,1
娱乐,28273,“老炮儿”北京工体演唱会,4,345,5,0,3
娱乐,27695,伯洛威低成本让您享帆船生活,4,99,3,0,3
娱乐,27929,twinkle闪闪的黄雅莉,4,120,4,0,2
娱乐,28474,拥抱男神，拒做备胎,13,49,14,0,4
娱乐,27686,伯洛威低成本让您享游艇生活,4,99,3,0,3
娱乐,28703,美梦精灵，为孩子独睡减压,3,20,4,0,2
娱乐,28297,咕噜咕噜美人鱼，亲情体验季,3,69,9,2,1
娱乐,28449,品味张家界独特风光与味道,6,58,10,0,1
娱乐,28701,实感射击，一整年“霸王餐”,4,200,11,2,1
娱乐,28506,守住我们心中的那只老虎,3,108,4,0,1
娱乐,28682,COGITO哲思，刷脸免单,9,99,8,0,1
娱乐,27557,戏曲动漫卡通抱枕,8,78,6,1,1
娱乐,26550," 传承千年，手工秦筝",4,2998,9,0,7
娱乐,25921,Qee全球街拍探秘,8,200,9,0,1
娱乐,26433,《小王子》故乡法国之旅,5,899,11,0,4
娱乐,26764,网易青果：全民看大理计划,5,10,11,0,1
娱乐,26843,唯喔足球，极致跨境足球体验,5,50,10,0,1
娱乐,25841,爱沃克邀你观看鸟巢演唱会,11,1,8,3,1
娱乐,26821,糖罐 - 曼谷跨年狂欢之旅,5,169,7,0,1
娱乐,27524,爱撒图儿童自行车,5,299,16,1,1
娱乐,26418,一部能帮你赚钱的电影,9,198,7,0,1
娱乐,27544,大叔&小熊音乐会,7,89,15,2,1
娱乐,26450,声美便携头戴HI-FI耳机,6,500,11,0,1
娱乐,27212,决战僵尸，英雄归来,4,68,17,0,1
娱乐,27554,Hape小王子约你暖心同行,7,1,13,6,1
娱乐,27562,虎见福建-保护华南虎微电影,8,59,5,0,1
娱乐,26510,汪峰fiil耳机发布会门票,3,1999,13,0,1
娱乐,25833,GoTravel囧云颈枕,7,58,7,0,1
娱乐,25440,原创悟空生肖猴吊坠,10,158,8,38,3
娱乐,25132,专属定制——你的摇头公仔,10,230,18,9,1
娱乐,25190,音乐的秘密：一首歌的诞生,5,10,1,0,1
娱乐,24075,从长安到长安·岩途·脱口秀,6,1,1,0,1
娱乐,25355,我不只是一个背包,5,1,9,0,1
娱乐,25545,搭乘晚清ICON御用专列,6,15,3,1,1
娱乐,24428,拥有特色互动的游戏动漫酒店,7,199,7,6,1
娱乐,24581,天涯海角年度婚礼,9,1,5,0,1
娱乐,24752,曼蒂菲儿三亚旅拍海景婚纱照,4,4988,5,0,1
娱乐,25365,与芭蕾女神希薇•纪莲的邂逅,5,1,7,3,1
娱乐,24131,斯柯达拉力学院,6,1,5,0,2
娱乐,25441,大家来拆弹，解救吾先生,4,39,7,1,1
娱乐,25826,一三一素米亚妮亚群星演唱会,8,280,4,0,2
娱乐,24511,品红心猕猴桃免费游剑门关,5,1,26,0,1
娱乐,24639,那些人民谣季—听真正的民谣,6,1,4,5,1
娱乐,23825,唐嫣现身曙光之战送限量周边,9,1,5,0,1
娱乐,23809,15年潜心力作 数字首秀,6,99,15,0,5
娱乐,23080,深山秘境，东方橄榄油的秘密,6,1,8,0,1
娱乐,22910,龙腾出行-全球机场贵宾礼遇,6,1,0,0,1
娱乐,23930,在海南，遇见五星级的家,7,39,5,0,1
娱乐,23305,两小无猜故事写真集,7,1,2,0,1
娱乐,22893,西安交响乐团 户外公演,4,5,3,1,2
娱乐,23172,日薪一万联想招聘穿越体验师,6,2,10,0,1
娱乐,23667,来水立方体验真实飞机驾驶,6,188,18,0,1
娱乐,22218,森林音乐会 共筑绿色中国梦,7,1,3,0,1
娱乐,22568,古风十年一梦 蝼蚁亦可登天,5,1,5,0,2
娱乐,23120,莱仕达MFi苹果游戏手柄,7,1,5,0,1
娱乐,23650,众筹飞机和小岛，逐爱大溪地,8,30,14,0,1
娱乐,21833,保温瓶·握拍发力器,7,1,30,0,1
娱乐,23199,最佳前男友，和过去说声嗨,5,39,3,3,1
娱乐,20695,张杰专属音乐盒,4,1,3,0,1
娱乐,23711,拯救和传承尼泊尔唐卡艺术,89,400,33,3,22
娱乐,20802,听拉力赛车手吐槽东南亚 ,5,1,4,0,1
娱乐,20968,健康的萌猫,8,1,12,1,1
娱乐,18727,聚焦，让您的婚纱照脱颖而出,5,1,25,0,1
娱乐,19756,用一本书嗨一把中韩娱乐圈,8,1,4,0,1
娱乐,19545,纯甲类全晶体管耳机放大器,6,399,3,0,1
娱乐,18863,仙剑舞台剧西安站-仙剑之约,9,1,5,1,2
娱乐,19931,台湾自然好视力文化之旅,4,1,30,0,3
娱乐,20499,赵传2015巡回演唱会起航,8,1,7,0,2
娱乐,18666,在北海涠洲岛建亲子客栈,6,299,7,7,1
娱乐,20419,京城秘境正乙祠带你梦回百年,10,48,5,0,1
娱乐,20284,一元免流量 手机看大片,4,1,7,0,1
娱乐,20227,仙乐飘飘专辑《红》有礼众筹,5,3,3,0,1
娱乐,20560,小多明戈人民大会堂演唱会,7,1,3,1,1
娱乐,18628,“卸甲英雄”巴特尔再逐梦！,6,1,4,0,1
娱乐,20644,《超想见你》众筹天使制片人,14,1,3,0,1
娱乐,17463,拉拉纯爱泰国之旅,5,1,4,3,1
娱乐,17377,予佳庆一支花，为婚礼筹祝福,4,10,4,0,1
娱乐,16885,原创手绘Q版白蛇传,4,1,6,0,1
娱乐,17247,调解大师马善祥纪实微电影,5,1,3,1,1
娱乐,17522,"旖旎斯里兰卡,本末你的酒店",5,1,21,1,1
娱乐,16095,大墓开启！体验真实盗墓！,7,1,6,0,1
娱乐,17143,纪念碑谷周边众筹,4,1,5,0,1
娱乐,17044,布达吉雅乐团新专辑首唱会,5,1,6,0,1
娱乐,18090,阿飞向前冲 我们大银幕见,8,1,3,1,1
娱乐,16583,王力宏首场线上互动签售会,6,2,4,0,2
娱乐,15901,看小时代，品微红酒,6,1,24,3,2
娱乐,18531,蓝猫扫扫乐•AR恐龙魔卡,3,1,6,0,1
娱乐,18479,男神戏剧作品特殊版限定放映,5,10,7,0,1
娱乐,17037,七夕，包机去厦门拍婚纱照！,5,1,9,0,1
娱乐,17132,缅甸丹老群岛帆船航海之旅,5,1,11,0,1
娱乐,17125,寻找德青源葡萄园的主人！,4,1,8,2,1
娱乐,14150,阿潘达，钢铁熊猫手办,5,1,5,0,1
娱乐,14482,李楠篮球训练营招募计划,4,1,5,1,1
娱乐,13566,罗小黑的第一本漫画,6,1,3,0,1
娱乐,14074,印象成都-八只脚青年旅舍,7,1,32,0,1
娱乐,15045,极致体验私人飞机,8,1,4,0,2
娱乐,13054,个性化自驾美西黄石发现之旅,6,1,8,0,1
娱乐,13697,谭维维“维所欲为”演唱会,4,1,6,1,1
娱乐,14090,好妹妹工体万人演唱会,9,1,7,0,1
娱乐,13563,马良纪录片《移动照相馆》,8,1,9,0,1
娱乐,14396,呼伦贝尔国际游牧音乐节,10,2,22,1,1
娱乐,14305,7-11聚众飙车，你敢来吗,7,1,5,0,1
娱乐,15724,艾问顶级投资人之创客法则,8,39,3,0,1
