项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,70362,拯救和传承尼泊尔唐卡技艺Ⅱ,36,800,17,3,22
设计,70235,机械简约磁控铅笔,8,36,12,1,2
设计,70208,赤焰聚能爆炒锅,7,339,23,1,1
设计,70155,可调温多功能鹅绒被,10,699,27,154,1
设计,70345,《闻吉起舞》丁酉年青铜香插,5,599,14,42,3
设计,69873,一件相见恨晚的黑科技羽绒衣,19,359,14,2,2
设计,69814,分身有术 可变吸附钱包,8,109,12,0,1
设计,69823,费雪0-7岁组安全座椅众筹,5,1788,31,0,1
设计,69869,多功能双肩妈咪包,7,130,8,0,1
设计,69789,白石山房沁玉·艺术坠饰,7,199,35,0,1
设计,69941,探路者匠户多功能套羽绒外套,7,769,15,4,2
设计,70001,一款抗污保暖不易变形的衬衫,6,135,21,1,3
设计,69885,途加1号独特打开的旅行箱,6,999,15,0,1
设计,69917,安方沉香枕,5,950,24,3,1
设计,69802,时光不老青春永驻：启跃眼镜,11,158,21,4,1
设计,69951,魔幻海洋 不一样的绘画体验,6,89,4,3,1
设计,69875,FINO数码收纳枪包,16,98,31,0,1
设计,70029,首相的团队到中国给您做鞋,9,899,6,18,1
设计,69949,“暗源”机甲模型加兵人手办,7,229,35,0,1
设计,69952,你从未见过的晾衣架-Q3,14,298,37,1,1
设计,70040,手工匠人 紫砂之《乐仙》,11,78,42,7,3
设计,69584,掌握巴马长寿水质密码的水壶,7,469,17,0,2
设计,69758,粤顺红木家具众筹回馈大众,9,849,28,2,2
设计,69781,超轻空气导流跑步风衣,5,299,10,0,1
设计,69744,仙鹤情侣装,5,499,13,0,1
设计,69652,一触碰就爱上的智能花盆,5,168,15,1,1
设计,69646,泰格奴多功能防盗背包,9,168,24,0,1
设计,69766,松香门第圣塔菲系列儿童床,7,1598,38,0,1
设计,69626,泰国天然乳胶3D生态床垫,9,2999,23,0,2
设计,69622,每一口都健康的硅胶儿童碗,9,78,25,0,2
设计,69629,旷世黄金段泥-古龙窑柴烧,10,68,40,0,2
设计,69534,拓朴新型自刷洗平板拖把,7,159,16,0,1
设计,69488,法国原装进口旋转安全座椅,8,1599,30,0,1
设计,69731,Kuroro星空许愿包,5,149,3,0,8
设计,69730,老爷子核心变焦阅读眼镜,5,299,33,4,1
设计,69656,amDesign清晨感应灯,6,148,10,0,1
设计,69391,CUTO A1s 极小钱包,15,119,31,0,1
设计,69499,伴爱·天使恶魔小熊,11,228,8,38,3
设计,69403,质造新标杆全镁铝合金旅行箱,7,1039,26,0,2
设计,69439,Miamily3D婴儿背带,7,149,11,0,2
设计,69395,海鸥星空图自动机械表,4,3199,21,0,1
设计,69413,舒倍立体分区智能鹅绒被,10,980,23,0,2
设计,69160,KT抽绳垃圾袋,5,20,13,0,1
设计,69435,一款可以抗菌的毛巾,12,39,9,0,1
设计,69366,龙泉锋刃手工锻造厨房刀具,7,38,28,0,2
设计,69204,奔驰Actor遥控玩具套装,9,238,13,0,3
设计,69448,泰露健康纯天然乳胶枕,12,169,30,0,1
设计,69207,御笔写经,5,139,11,0,2
设计,69039,GM长者鞋·老爸越穿越年轻,15,119,22,0,1
设计,69486,手机直播项圈,8,35,23,0,1
设计,69134,健康饮茶-古龙窑柴烧紫砂壶,10,98,48,0,2
设计,69326,玩童亲子桌游—北京之旅,7,158,7,0,1
设计,69441,面面俱到 防水棉服,10,358,55,0,3
设计,68922,手工紫砂茶盏,11,30,31,7,3
设计,68678,一件能保暖的冬季必备塑身衣,10,158,27,2,4
设计,68959,自然型木雕之父卢思立佳作,8,880,16,0,1
设计,68946,人与器物的美好关系黑竹餐具,7,65,8,0,1
