项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
美食,55328,怀宁蓝莓，蓝莓中的贵妃,7,78,7,0,1
美食,55357,高山梯田优质有机大米,5,19,8,0,1
美食,54539,你也许从未见过这样喝的茶！,5,58,19,0,1
美食,54144,江南有吴酒 千年古法酿制,5,199,26,0,1
美食,54117,溪林传谷素食－端午粽子礼盒,8,1,5,0,1
美食,55263,源自长白山下的美登蓝莓,8,19,16,4,1
美食,53858,合弈董酒众筹,8,350,20,2,1
美食,55150,嗨！牛麻辣牛肉非遗私房美味,5,29,13,0,1
美食,55470,贵州贵定特产酥李,9,13,17,0,2
美食,53888,你应该知道的—仙居东魁杨梅,5,85,17,5,1
美食,55376,好吃又健康天使恶魔油辣椒,5,39,11,0,2
美食,51151,老知青&太平猴魁的往事,8,118,27,0,8
美食,52721,非物质遗产真真老老蒸笼粽,9,168,10,0,1
美食,51956,布鲁柯尔蓝莓酒 来自加拿大,8,119,27,0,2
美食,51836,阿伦选，带你味览天下,10,158,8,0,1
美食,52619,探秘·大红袍,10,68,6,0,11
美食,52710,上等佳肴，信阳高山红茶鸭,7,39,15,0,1
美食,53297,端午传情，神奇台湾大肉粽！,10,20,14,24,1
美食,52852,“世界硒都”天然富硒米,11,16,7,1,1
美食,52064,光辉岁悦心情老酒致敬父辈,7,128,8,4,3
美食,51195,烟台樱桃 醉是酸甜口儿,11,16,7,0,1
美食,51623,聚爱赤眉油桃—县长的扶贫梦,6,48,21,0,1
美食,53655,天然蜂蜜看得见 纯真 巢蜜,5,59,21,0,1
美食,53103,德云红酒，郭德纲有,6,168,24,0,1
美食,53563,论个卖的致富桃,5,60,7,0,1
美食,51352,百家姓普洱茶·私人订制,8,99,5,0,1
美食,52154,品味真正的纯料山头普洱茶,8,29,31,0,1
美食,49913,“东方神蛋”神农鸟鸡绿壳蛋,6,78,12,0,2
美食,49943,无法将就的唯爱情与普洱,10,89,31,0,4
美食,50207,六姐妹蒲江丑柑,5,99,7,0,1
美食,50398,蟹黄咸鸭蛋 你吃过么？,4,49,16,0,1
美食,50831,夏日美食—微山湖放养咸鸭蛋,7,39,9,4,1
美食,50354,金嗓子草本植物饮料,13,119,10,0,1
美食,50657,爱的分享，健康“油”此开始,9,76,15,0,5
美食,50120,MIS.私人定制鸡尾酒,6,79,6,0,1
美食,50775,让水蜜桃替你表白,4,48,6,71,1
美食,50253,美国进口 TCF芝士蛋糕,6,159,13,0,1
美食,50468,福建古竹新鲜杨梅，甄爱之选,7,48,19,0,1
美食,49968,茅台镇老酒名字专属定制酒,6,139,10,0,6
美食,50084,四大名将-yami手工酱,7,149,7,0,1
美食,50718,中宁天然枸杞花蜜,5,128,11,0,1
美食,49817,一盏历经千年的主人杯,9,69,0,0,11
美食,50256,哞星人生态牧场全脂纯牛奶,8,34,14,4,1
美食,48884,新鲜桑葚 源自大凉山的美味,8,49,20,0,1
美食,49259,切糕王子为切糕正名,7,52,15,0,1
美食,49383,头茬蓝莓鲜果，唤醒你的味蕾,11,48,7,2,2
美食,48037,因味抢鲜 品茗狮峰西湖龙井,7,99,42,0,2
