项目类型,项目编号,话题数,关注数
科技,66442,34,(2千)
科技,66441,28,(1千)
科技,66431,144,(2千)
科技,66430,39,(141)
科技,66419,29,(5万)
科技,66418,130,(3千)
科技,66412,52,(3千)
科技,66406,4,(1千)
科技,66393,122,(1千)
科技,66362,133,(1千)
科技,66359,72,(2千)
科技,66338,383,(3万)
科技,66317,129,(1千)
科技,66315,178,(7千)
科技,66311,137,(6千)
科技,66305,172,(4千)
科技,66302,11,(123)
科技,66275,164,(1千)
科技,66267,85,(2千)
科技,66253,11,(312)
科技,66252,59,(286)
科技,66224,186,(2万)
科技,66206,43,(2千)
科技,66199,134,(3千)
科技,66165,28,(247)
科技,66146,16,(125)
科技,66118,33,(186)
科技,66111,36,(518)
科技,66110,218,(738)
科技,66104,81,(4千)
科技,66084,62,(1千)
科技,66064,1491,(8千)
科技,66061,630,(2千)
科技,66052,113,(3千)
科技,66042,656,(4千)
科技,66041,1270,(3千)
科技,66035,163,(773)
科技,66034,59,(516)
科技,66032,29,(1千)
科技,66029,91,(1千)
科技,66017,36,(72)
科技,66014,828,(6千)
科技,66013,18,(140)
科技,65990,10,(1千)
科技,65944,15,(1千)
科技,65942,161,(1万)
科技,65940,31,(879)
科技,65934,177,(4千)
科技,65918,10,(50)
科技,65894,108,(1千)
科技,65888,94,(853)
科技,65887,16,(234)
科技,65881,162,(358)
科技,65873,194,(2千)
科技,65861,718,(1千)
科技,65836,76,(1千)
科技,65833,49,(5千)
科技,65831,248,(692)
科技,65821,63,(417)
科技,65820,49,(305)
科技,65811,572,(1千)
科技,65808,1827,(1万)
科技,65805,36,(285)
科技,65800,90,(2千)
科技,65793,148,(1千)
科技,65790,28,(307)
科技,65785,26,(583)
科技,65779,27,(92)
科技,65776,18,(107)
科技,65775,150,(400)
科技,65773,47,(4千)
科技,65764,121,(3千)
科技,65758,104,(1千)
科技,65749,68,(569)
科技,65728,111,(2千)
科技,65719,49,(1千)
科技,65714,39,(3千)
科技,65713,79,(543)
科技,65703,49,(1万)
科技,65702,43,(1千)
科技,65685,161,(482)
科技,65683,470,(2万)
科技,65678,984,(1万)
科技,65675,227,(6千)
科技,65651,24,(1千)
科技,65645,34,(289)
科技,65636,77,(383)
科技,65621,11,(281)
科技,65617,225,(3千)
科技,65609,29,(477)
科技,65605,104,(2万)
科技,65603,24,(166)
科技,65601,71,(568)
科技,65599,166,(1千)
科技,65573,640,(9千)
科技,65569,26,(108)
科技,65565,1018,(5万)
科技,65555,18,(291)
科技,65550,32,(385)
科技,65547,14,(2千)
科技,65530,23,(264)
科技,65526,41,(481)
科技,65522,22,(280)
科技,65511,36,(485)
科技,65509,92,(3千)
科技,65489,52,(436)
科技,65488,125,(8千)
科技,65484,37,(147)
科技,65481,12,(108)
科技,65462,156,(1千)
科技,65455,40,(226)
科技,65443,6,(123)
科技,65428,81,(126)
科技,65419,263,(2千)
科技,65414,147,(714)
科技,65407,247,(10万)
科技,65573,640,(9千)
科技,65569,26,(108)
科技,65603,24,(166)
科技,65605,104,(2万)
科技,65601,71,(568)
科技,65599,166,(1千)
科技,65555,18,(291)
科技,65565,1018,(5万)
科技,65547,14,(2千)
科技,65530,23,(264)
科技,65550,32,(385)
科技,65526,41,(481)
科技,65522,22,(280)
科技,65509,92,(3千)
科技,65511,36,(485)
科技,65484,37,(147)
科技,65489,52,(436)
科技,65488,125,(8千)
科技,65455,40,(226)
科技,65462,156,(1千)
科技,65428,81,(126)
科技,65481,12,(108)
科技,65443,6,(123)
科技,65419,263,(2千)
科技,65414,147,(714)
科技,65363,66,(2千)
科技,65407,247,(10万)
科技,65376,959,(8千)
科技,65351,41,(376)
科技,65342,162,(957)
科技,65340,55,(195)
科技,65332,62,(587)
科技,65331,58,(338)
科技,65329,42,(283)
科技,65317,68,(1千)
科技,65318,138,(1千)
科技,65320,261,(3千)
科技,65313,163,(2千)
科技,65316,52,(2千)
科技,65308,253,(6千)
科技,65297,61,(460)
科技,65292,330,(2千)
科技,65289,90,(1千)
科技,65272,128,(1万)
科技,65270,28,(3千)
科技,65262,192,(477)
科技,65268,11,(269)
科技,65251,143,(2千)
科技,65217,48,(454)
科技,65197,259,(1千)
科技,65195,39,(75)
科技,65165,239,(5千)
科技,65184,343,(2千)
科技,65147,91,(638)
科技,65137,32,(1千)
科技,65116,67,(638)
科技,65114,130,(846)
科技,65112,121,(1千)
科技,65105,118,(1千)
科技,65100,58,(8千)
科技,65099,245,(2千)
科技,65070,128,(1万)
科技,65067,55,(423)
科技,65061,76,(602)
科技,65033,58,(328)
科技,65060,28,(76)
科技,65032,43,(581)
科技,64995,128,(1千)
科技,64985,250,(319)
科技,64981,226,(1千)
科技,64961,76,(350)
科技,64975,37,(340)
科技,64949,11,(194)
科技,64943,887,(1千)
科技,64934,556,(1万)
科技,64921,145,(787)
科技,64955,181,(478)
科技,64911,100,(8千)
科技,64910,60,(249)
科技,64860,150,(1千)
科技,64869,27,(377)
科技,64845,54,(362)
科技,64830,2575,(4万)
科技,64829,32,(504)
科技,64824,33,(5千)
科技,64812,59,(1千)
科技,64803,76,(1千)
科技,64789,80,(2千)
科技,64791,380,(2万)
科技,64779,92,(1千)
科技,64775,50,(662)
科技,64772,63,(2千)
科技,64759,242,(2千)
科技,64757,204,(2万)
科技,64753,209,(663)
科技,64754,125,(3千)
科技,64731,115,(2千)
科技,64727,24,(302)
科技,64724,30,(165)
科技,64715,884,(1万)
科技,64723,28,(79)
科技,64714,341,(1千)
科技,64707,218,(918)
科技,64690,214,(512)
科技,64692,77,(366)
科技,64665,104,(1千)
科技,64660,50,(407)
